isoform_id,bam1_count,bam2_count
CHS.1.1,0,984
CHS.10123.2,4,0
CHS.10139.8,2,0
CHS.10155.7,1,0
CHS.10157.12,2,0
CHS.10163.4,2,0
CHS.10234.3,2,0
CHS.10267.3,6,0
CHS.10267.5,6,0
CHS.1032.16,2,0
CHS.1032.5,6,0
CHS.10368.8,2,0
CHS.10369.3,2,0
CHS.10373.2,2,0
CHS.10636.4,2,0
CHS.1076.49,2,0
CHS.10781.15,6,0
CHS.10781.17,2,0
CHS.10781.2,8,0
CHS.10781.3,2,0
CHS.10806.6,2,0
CHS.10813.1,2,0
CHS.10813.13,4,0
CHS.10813.18,2,0
CHS.10823.6,2,0
CHS.10830.9,2,0
CHS.1085.14,2,0
CHS.1087.8,2,0
CHS.1092.24,4,0
CHS.1097.5,2,0
CHS.11044.6,4,0
CHS.11110.2,2,0
CHS.11186.4,2,0
CHS.11268.25,2,0
CHS.11301.11,2,0
CHS.1133.3,2,0
CHS.11438.11,2,0
CHS.11453.3,2,0
CHS.11455.3,2,0
CHS.11455.7,2,0
CHS.11547.9,1,0
CHS.11556.4,2,0
CHS.11557.8,4,0
CHS.11561.2,2,0
CHS.11576.22,4,0
CHS.11576.8,2,0
CHS.11578.16,4,0
CHS.11578.9,2,0
CHS.11602.32,2,0
CHS.11607.8,2,0
CHS.11629.9,2,0
CHS.1171.4,2,0
CHS.11716.10,2,0
CHS.11730.2,2,0
CHS.11736.6,2,0
CHS.11738.2,2,0
CHS.11740.3,2,0
CHS.11748.22,2,0
CHS.11788.4,2,0
CHS.11790.2,2,0
CHS.11790.3,2,0
CHS.11800.1,2,0
CHS.11859.22,2,0
CHS.11867.1,4,0
CHS.11868.2,2,0
CHS.11868.3,10,0
CHS.11875.15,2,0
CHS.119.3,0,128
CHS.11900.5,8,0
CHS.11906.14,4,0
CHS.11929.4,2,0
CHS.11943.9,2,0
CHS.11948.15,2,0
CHS.11972.21,2,0
CHS.120.4,2,0
CHS.1208.38,2,0
CHS.1208.6,2,0
CHS.12117.6,2,0
CHS.12135.3,2,0
CHS.1222.3,2,0
CHS.12225.1,2,0
CHS.12225.16,2,0
CHS.12225.18,2,0
CHS.12225.2,2,0
CHS.12261.27,2,0
CHS.12288.1,1,0
CHS.123.29,2,0
CHS.123.5,2,0
CHS.12322.1,1,0
CHS.123299.1,0,237
CHS.123547.1,2,0
CHS.123778.1,1,0
CHS.123786.1,1,0
CHS.12381.1,2,0
CHS.124041.1,2,0
CHS.12456.3,2,0
CHS.12489.4,2,0
CHS.124924.1,4,0
CHS.124962.1,4,0
CHS.125273.1,3,0
CHS.12529.5,2,0
CHS.12533.2,2,0
CHS.12533.3,2,0
CHS.125336.1,2,0
CHS.125577.1,8,0
CHS.125651.1,2,0
CHS.12579.2,2,0
CHS.126019.1,2,0
CHS.12603.37,2,0
CHS.12610.12,2,0
CHS.1262.5,2,0
CHS.12656.1,2,0
CHS.12660.54,2,0
CHS.126694.1,14,0
CHS.126862.1,2,0
CHS.12693.5,2,0
CHS.127121.1,2,0
CHS.12725.6,2,0
CHS.127387.1,2,0
CHS.12749.5,2,0
CHS.127495.1,2,0
CHS.12754.2,2,0
CHS.12754.3,2,0
CHS.12759.1,3,0
CHS.127851.1,2,0
CHS.127855.1,2,0
CHS.12789.12,2,0
CHS.12799.25,2,0
CHS.12799.7,2,0
CHS.12800.21,2,0
CHS.12805.1,2,0
CHS.128084.1,4,0
CHS.128084.2,4,0
CHS.128523.1,6,0
CHS.128841.1,1,0
CHS.129059.1,2,0
CHS.1292.22,2,0
CHS.12923.34,2,0
CHS.129358.1,2,0
CHS.129416.1,2,0
CHS.129477.1,2,0
CHS.1295.1,2,0
CHS.12959.2,2,0
CHS.12960.17,4,0
CHS.12960.2,2,0
CHS.12960.3,8,0
CHS.129628.1,2,0
CHS.12977.10,2,0
CHS.129837.1,2,0
CHS.12988.10,2,0
CHS.13021.8,2,0
CHS.13051.1,1,0
CHS.13070.16,2,0
CHS.131313.1,0,1043
CHS.131314.1,0,109
CHS.13143.28,2,0
CHS.13149.3,6,0
CHS.13155.1,2,0
CHS.131656.1,2,0
CHS.13270.1,2,0
CHS.134060.1,2,0
CHS.13532.14,2,0
CHS.136193.1,2,0
CHS.13620.2,2,0
CHS.13633.15,2,0
CHS.13645.12,2,0
CHS.13712.4,2,0
CHS.1384.1,2,0
CHS.13841.2,2,0
CHS.138702.1,2,0
CHS.13871.2,2,0
CHS.138729.1,2,0
CHS.13877.12,2,0
CHS.13882.2,2,0
CHS.13900.17,2,0
CHS.139259.1,0,816
CHS.13966.5,2,0
CHS.1397.2,2,0
CHS.13976.1,4,0
CHS.13976.2,10,0
CHS.13976.3,3,0
CHS.13993.10,4,0
CHS.13993.9,10,0
CHS.14005.6,2,0
CHS.14033.13,2,0
CHS.14033.2,2,0
CHS.14067.4,2,0
CHS.140813.1,1,0
CHS.141078.1,2,0
CHS.143180.1,1,0
CHS.143318.1,2,0
CHS.143320.1,2,0
CHS.143322.1,2,0
CHS.1434.7,2,0
CHS.143462.1,4,0
CHS.144079.1,0,338
CHS.144083.1,0,419
CHS.14562.2,2,0
CHS.1458.3,6,0
CHS.14612.8,2,0
CHS.14733.12,2,0
CHS.148.20,2,0
CHS.1484.3,2,0
CHS.148656.1,4,0
CHS.149.14,0,108
CHS.14969.33,1,0
CHS.14972.2,2,0
CHS.14995.22,2,0
CHS.15028.12,2,0
CHS.15036.13,2,0
CHS.15036.74,2,0
CHS.15038.1,2,0
CHS.150488.1,12,0
CHS.15090.7,2,0
CHS.15099.2,2,0
CHS.15103.21,2,0
CHS.15104.29,2,0
CHS.15107.15,4,0
CHS.15252.6,2,0
CHS.15257.2,2,0
CHS.15269.4,1,0
CHS.15383.28,2,0
CHS.153832.1,2,0
CHS.15414.4,2,0
CHS.15418.5,2,0
CHS.15427.9,2,0
CHS.15449.4,2,0
CHS.15504.33,2,0
CHS.15560.2,2,0
CHS.15561.2,2,0
CHS.15571.4,2,0
CHS.15601.1,2,0
CHS.156294.1,2,0
CHS.15645.53,2,0
CHS.15681.4,2,0
CHS.15714.13,2,0
CHS.15779.15,2,0
CHS.15779.4,2,0
CHS.15813.1,2,0
CHS.15895.1,2,0
CHS.15952.2,2,0
CHS.1597.21,4,0
CHS.160.14,0,320
CHS.16030.15,2,0
CHS.16068.12,2,0
CHS.16149.1,2,0
CHS.161851.1,2,0
CHS.16209.2,2,0
CHS.16212.17,2,0
CHS.1627.57,1,0
CHS.16296.3,2,0
CHS.16359.4,2,0
CHS.16445.1,4,0
CHS.16445.2,4,0
CHS.165400.1,2,0
CHS.166002.1,2,0
CHS.166413.1,12,0
CHS.166726.2,2,0
CHS.166726.4,2,0
CHS.166734.2,0,508
CHS.166734.3,0,739
CHS.166735.1,0,252
CHS.166740.1,2,206
CHS.166741.1,0,155
CHS.167096.1,2,0
CHS.167218.1,1,0
CHS.167698.1,2,0
CHS.16904.9,2,0
CHS.1691.2,2,0
CHS.16912.1,2,0
CHS.16942.3,2,0
CHS.169438.16,2,0
CHS.16971.24,2,0
CHS.16983.2,2,0
CHS.17075.5,2,0
CHS.17076.2,2,0
CHS.17147.19,2,0
CHS.17147.3,2,0
CHS.17168.2,2,0
CHS.17174.4,2,0
CHS.17193.7,2,0
CHS.17243.2,14,0
CHS.17306.4,2,0
CHS.17364.16,4,0
CHS.17371.7,2,0
CHS.17379.9,4,0
CHS.174309.1,2,0
CHS.174314.1,6,0
CHS.174316.1,2,0
CHS.174318.1,2,0
CHS.174348.1,2,0
CHS.174472.1,2,0
CHS.17448.3,2,0
CHS.174559.1,1,0
CHS.1746.26,2,0
CHS.174674.1,2,0
CHS.17470.2,2,0
CHS.174986.1,2,0
CHS.175348.1,6,0
CHS.175351.1,4,0
CHS.17537.8,2,0
CHS.17564.16,2,0
CHS.17588.19,2,0
CHS.17625.13,2,0
CHS.17625.36,2,0
CHS.17625.4,2,0
CHS.17628.2,2,0
CHS.17635.9,2,0
CHS.17637.1,8,0
CHS.17680.5,2,0
CHS.17694.2,4,0
CHS.17694.3,4,0
CHS.17766.13,2,0
CHS.17766.16,2,0
CHS.17766.17,2,0
CHS.17769.33,2,0
CHS.17772.39,2,0
CHS.17845.9,2,0
CHS.17888.9,2,0
CHS.17972.2,2,0
CHS.17986.1,2,0
CHS.17986.2,2,0
CHS.17988.2,1,0
CHS.17988.40,1,0
CHS.18054.62,2,0
CHS.18082.1,4,0
CHS.18082.2,4,0
CHS.18147.6,2,0
CHS.18236.6,2,0
CHS.1824.3,2,0
CHS.18248.1,2,0
CHS.18251.2,1,0
CHS.1829.19,2,0
CHS.18307.3,2,0
CHS.18422.18,2,0
CHS.18655.18,2,0
CHS.18770.47,2,0
CHS.1879.1,2,0
CHS.18792.5,6,0
CHS.18792.8,6,0
CHS.18815.16,2,0
CHS.18824.2,2,0
CHS.18855.1,2,0
CHS.18855.9,4,0
CHS.18907.44,2,0
CHS.18972.1,4,0
CHS.18975.5,2,0
CHS.19038.4,2,0
CHS.19078.49,2,0
CHS.19113.14,2,0
CHS.19113.4,2,0
CHS.19238.6,4,0
CHS.19238.7,2,0
CHS.1929.21,2,0
CHS.19291.1,2,0
CHS.19326.19,2,0
CHS.19326.20,2,0
CHS.19343.32,2,0
CHS.19370.1,2,0
CHS.19382.7,2,0
CHS.19424.2,2,0
CHS.19457.6,2,0
CHS.19494.3,2,0
CHS.19501.1,2,0
CHS.19508.1,2,0
CHS.19513.10,2,0
CHS.19539.13,2,0
CHS.19539.8,2,0
CHS.19551.2,1,0
CHS.1958.7,2,0
CHS.1960.5,2,0
CHS.19612.2,2,0
CHS.19655.1,2,0
CHS.19738.3,4,0
CHS.19812.5,2,0
CHS.19874.36,2,0
CHS.19874.38,2,0
CHS.2.1,0,572
CHS.20006.3,2,0
CHS.20016.3,4,0
CHS.2005.8,2,0
CHS.20125.1,1,0
CHS.20155.29,2,0
CHS.20190.21,2,0
CHS.20218.15,2,0
CHS.20230.18,2,0
CHS.20239.2,2,0
CHS.20246.2,2,0
CHS.20247.1,2,0
CHS.20247.26,4,0
CHS.20288.9,2,0
CHS.20356.5,2,0
CHS.20356.8,2,0
CHS.20432.3,2,0
CHS.20434.2,2,0
CHS.20445.1,2,0
CHS.20483.5,2,0
CHS.20504.5,2,0
CHS.20508.10,2,0
CHS.20545.1,2,0
CHS.20553.11,2,0
CHS.20553.5,2,0
CHS.20553.6,2,0
CHS.20630.10,2,0
CHS.2067.22,2,0
CHS.2067.24,2,0
CHS.2067.6,2,0
CHS.2067.7,1,0
CHS.20734.1,2,0
CHS.20734.16,6,0
CHS.20736.24,2,0
CHS.20740.1,2,0
CHS.20763.12,2,0
CHS.20895.5,4,0
CHS.20917.10,2,0
CHS.21008.1,2,0
CHS.21024.4,2,0
CHS.21075.13,4,0
CHS.21075.3,2,0
CHS.21094.2,2,0
